#Date,Temperatur,Luftfuktighet
2019-08-18 10:50:54,24.2,75
2019-08-18 11:54:05,24.2,75
2019-08-18 12:57:17,24.4,75
2019-08-18 13:50:53,24.4,75
2019-08-18 14:54:05,24.8,75
2019-08-18 15:56:29,24.8,75
2019-08-18 16:58:53,24.8,74
2019-08-18 17:50:53,24.7,74
2019-08-18 18:53:17,24.4,72
2019-08-18 19:55:41,24.3,70
2019-08-18 20:58:05,24.5,61
2019-08-18 21:50:05,24.7,58
2019-08-18 22:52:29,24.6,58
2019-08-18 23:54:53,24.2,20
2019-08-19 00:57:17,23.9,20
2019-08-19 01:50:05,23.7,20
2019-08-19 02:53:17,23.5,20
2019-08-19 03:57:16,23.3,20
2019-08-19 04:56:28,23.2,29
2019-08-19 05:50:52,23.1,70
2019-08-19 06:33:16,23.1,74
2019-08-19 07:46:52,23.4,75
2019-08-19 08:56:28,23.9,75
2019-08-19 09:56:28,24,73
2019-08-19 10:51:40,24.3,74
2019-08-19 11:58:04,24.1,72
2019-08-19 12:50:04,24.1,73
2019-08-19 13:54:04,24.1,73
2019-08-19 14:56:28,24.4,73
2019-08-19 15:58:52,24.1,70
2019-08-19 16:54:52,23.8,73
2019-08-19 17:40:28,23.5,71
2019-08-19 18:55:40,23.7,69
2019-08-19 19:59:40,24.1,65
2019-08-19 20:51:40,23.9,50
2019-08-19 21:54:52,23.7,46
2019-08-19 22:57:15,23.7,45
2019-08-19 23:50:04,23.5,20
2019-08-20 00:54:03,23.2,20
2019-08-20 01:58:03,23.1,20
2019-08-20 02:49:15,22.9,20
2019-08-20 03:51:39,22.8,20
2019-08-20 04:54:03,22.7,20
2019-08-20 05:59:39,22.7,55
2019-08-20 06:39:39,22.7,70
2019-08-20 07:55:39,22.9,74
2019-08-20 08:58:03,23.5,73
2019-08-20 09:58:51,23.9,73
2019-08-20 10:44:27,23.6,72
2019-08-20 10:44:27,23.6,72
2019-08-20 12:35:39,23.1,74
2019-08-20 13:55:39,23.8,74
2019-08-20 14:30:03,24.1,74
2019-08-20 15:18:51,24,73
2019-08-20 16:59:39,23.8,72
2019-08-20 17:37:14,23.8,71
2019-08-20 18:58:02,23.9,70
2019-08-20 19:53:14,24.2,66
2019-08-20 20:56:26,24.2,48
2019-08-20 21:58:50,24.2,46
2019-08-20 22:53:14,24,20
2019-08-20 23:59:38,23.6,20
2019-08-21 00:51:38,23.4,20
2019-08-21 01:54:02,23.2,20
2019-08-21 02:57:14,23.1,20
2019-08-21 03:59:38,22.9,20
2019-08-21 04:55:38,22.8,20
2019-08-21 05:58:50,22.7,60
2019-08-21 06:59:38,22.8,70
2019-08-21 07:50:50,22.8,69
2019-08-21 08:54:50,23.2,74
2019-08-21 09:59:38,24,73
2019-08-21 10:53:14,24,73
2019-08-21 11:57:14,23.9,73
2019-08-21 12:50:02,23.8,70
2019-08-21 13:23:37,23.8,73
2019-08-21 14:22:02,23.2,74
2019-08-21 15:58:49,23.2,74
2019-08-21 16:09:13,23.2,72
2019-08-21 17:56:25,22.6,71
2019-08-21 18:58:49,22.9,70
2019-08-21 19:58:49,23.4,66
2019-08-21 19:58:49,23.4,66
2019-08-21 21:54:01,23.6,20
2019-08-21 22:56:25,23.2,20
2019-08-21 23:54:01,22.8,20
2019-08-22 00:48:25,22.6,20
2019-08-22 01:53:13,22.4,20
2019-08-22 01:53:13,22.4,20
2019-08-22 01:53:13,22.4,20
2019-08-22 01:53:13,22.4,20
2019-08-22 05:58:01,22.3,61
2019-08-22 06:14:01,22.2,62
2019-08-22 06:14:01,22.2,62
2019-08-22 08:59:37,23.4,73
2019-08-22 09:58:00,23.6,74
2019-08-22 10:46:48,23.7,74
2019-08-22 11:49:12,23.7,73
2019-08-22 11:49:12,23.7,73
2019-08-22 13:59:36,23.8,73
2019-08-22 14:42:48,23.9,73
2019-08-22 15:21:12,23.8,72
2019-08-22 16:54:00,23.8,72
2019-08-22 17:56:24,23.8,65
2019-08-22 18:50:48,23.7,64
2019-08-22 19:54:00,24,69
2019-08-22 20:57:12,23.8,60
2019-08-22 21:50:48,23.7,59
2019-08-22 22:55:36,23.6,38
2019-08-22 23:59:36,23.2,20
2019-08-23 00:58:00,22.9,20
2019-08-23 01:53:12,22.8,20
2019-08-23 02:26:00,22.8,20
2019-08-23 03:14:47,22.7,20
2019-08-23 03:14:47,22.7,20
2019-08-23 05:43:35,22.5,48
2019-08-23 06:58:47,22.6,72
2019-08-23 07:49:11,22.6,73
2019-08-23 08:49:59,22.9,75
2019-08-23 09:53:11,23.2,74
2019-08-23 09:53:11,23.2,74
2019-08-23 11:53:12,23.3,75
2019-08-23 12:59:35,23.4,75
2019-08-23 13:49:11,23.6,75
2019-08-23 14:51:35,23.6,75
2019-08-23 15:52:23,23.9,75
2019-08-23 16:55:35,24.3,75
2019-08-23 17:57:59,24.4,75
2019-08-23 18:49:59,24.6,74
2019-08-23 19:54:47,24.9,72
2019-08-23 20:57:11,24.5,59
2019-08-23 21:49:59,24.2,58
2019-08-23 22:52:22,24.3,58
2019-08-23 23:54:47,24.1,58
2019-08-24 00:57:59,23.8,20
2019-08-24 01:49:58,23.6,20
2019-08-24 02:55:34,23.4,20
2019-08-24 03:54:46,23.3,20
2019-08-24 04:53:58,23.2,20
2019-08-24 05:57:11,23.1,63
2019-08-24 06:23:34,23.1,69
2019-08-24 07:59:34,23.3,75
2019-08-24 08:57:10,23.3,74
2019-08-24 09:57:10,23.8,75
2019-08-24 10:58:46,24.3,75
2019-08-24 11:56:23,24.6,75
2019-08-24 12:40:22,24.5,75
2019-08-24 13:46:46,24.3,75
2019-08-24 14:45:58,24.3,75
2019-08-24 15:59:34,24.9,75
2019-08-24 16:52:23,25.4,74
2019-08-24 17:54:45,25.9,74
2019-08-24 18:57:57,25.8,74
2019-08-24 19:49:57,25.8,73
2019-08-24 20:52:21,25.7,60
2019-08-24 21:54:45,25.7,59
2019-08-24 22:57:09,25.8,59
2019-08-24 23:59:33,25.7,58
2019-08-25 00:09:57,25.7,58
2019-08-25 15:55:33,26,75
2019-08-25 16:54:44,26.8,74
2019-08-25 17:57:08,27.1,73
2019-08-25 18:49:56,27,73
2019-08-25 19:53:56,26.9,71
2019-08-25 20:56:20,26.5,59
2019-08-25 21:48:20,26.5,59
2019-08-25 22:57:08,26.2,20
2019-08-25 23:56:20,25.8,20
2019-08-26 00:59:32,25.4,20
2019-08-26 01:51:32,25.2,20
2019-08-26 02:53:56,25,20
2019-08-26 03:56:20,24.8,20
2019-08-26 04:59:32,24.6,20
2019-08-26 05:52:19,24.4,66
2019-08-26 06:54:44,24.3,74
2019-08-26 07:57:07,24.4,75
2019-08-26 08:50:43,24.7,75
2019-08-26 09:56:19,25.2,75
2019-08-26 10:58:43,25.1,75
2019-08-26 11:51:31,25.1,75
2019-08-26 12:53:55,25.3,75
2019-08-26 13:56:19,25.7,75
2019-08-26 14:58:43,25.9,75
2019-08-26 15:50:43,26.3,75
2019-08-26 16:53:07,26.9,75
2019-08-26 17:57:07,27.3,73
2019-08-26 18:49:07,27.3,73
2019-08-26 19:52:19,27,71
2019-08-26 20:55:31,26.6,59
2019-08-26 22:00:19,26.7,58
2019-08-26 22:45:55,26.7,58
2019-08-26 23:57:07,26.3,20
2019-08-27 00:53:06,26.1,20
2019-08-27 01:56:18,25.9,20
2019-08-27 02:58:42,25.7,20
2019-08-27 03:50:42,25.5,20
