#Month,2015,2016,2017,2018,2019
1,0,1265,1028,981,1148
2,0,701,878,1108,748
3,0,526,655,960,683
4,0,426,478,516,488
5,0,365,427,336,467 
6,0,386,400,358,400
7,0,426,316,280,320
8,0,448,461,427,488
9,1944,454,487,451,454
10,621,528,587,588
11,688,853,725,771
12,794,896,912,959
